Course ID,Subject Title,Units,Days,Begin,End,Location,Instructor(s),Department Name,Bldg,Room,Section
70462,Uncertainty and Risk Modeling,9.0,Monday Wednesday,03:30PM,04:50PM,"Pittsburgh, Pennsylvania",Akshat,Business Administration,TEP,2702,A
70467,Machine Learning for Business Analytics,9.0,Tuesday Thursday,12:30PM,01:50PM,"Pittsburgh, Pennsylvania",Singh,Business Administration,TEP,2610,A
70467,Machine Learning for Business Analytics,9.0,Tuesday Thursday,02:00PM,03:20PM,"Pittsburgh, Pennsylvania",Singh,Business Administration,TEP,2610,B
70469,End to End Business Analytics,9.0,Monday Wednesday,12:30PM,01:50PM,"Pittsburgh, Pennsylvania",Ravi,Business Administration,TEP,2701,A
70476,Service Operations Management,9.0,Sunday Tuesday,02:30PM,03:45PM,"Doha, Qatar",Adeinat,Business Administration,CMB,3204,W
70481,Marketing Research,9.0,Sunday Tuesday,08:30AM,09:45AM,"Doha, Qatar",Mathur,Business Administration,CMB,3204,W
70483,Advertising and Marketing Communications,9.0,Monday Wednesday,11:00AM,12:20PM,"Pittsburgh, Pennsylvania",Murphy,Business Administration,TEP,2612,A
70493,Valuation and Financial Modeling,9.0,Monday Wednesday,03:30PM,04:50PM,"Pittsburgh, Pennsylvania",Glover,Business Administration,TEP,2611,A
70493,Valuation and Financial Modeling,9.0,Monday Wednesday,10:00AM,11:15AM,"Doha, Qatar",Akguc,Business Administration,CMB,1031,W
70495,Corporate Finance,9.0,Monday Wednesday,11:30AM,12:45PM,"Doha, Qatar",Farooqi,Business Administration,CMB,2052,W
70497,Derivative Securities,9.0,Monday Wednesday,02:00PM,03:20PM,"Pittsburgh, Pennsylvania",Seppi,Business Administration,TEP,2701,A
70499,Internship,3.0,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Jafry O'Connor,Business Administration,DNM,DNM,A
70500,Honors Thesis I,3-18,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Hollifield,Business Administration,DNM,DNM,A
70500,Honors Thesis I,3-18,Schedule will be added,NA,NA,"Doha, Qatar",Farooqi,Business Administration,DNM,DNM,W
70501,Honor Thesis II,3-18,Schedule will be added,NA,NA,"Doha, Qatar",Farooqi,Business Administration,DNM,DNM,W
70502,Independent Study in Management,3-18,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Hollifield,Business Administration,DNM,DNM,A
70502,Independent Study in Management,3-18,Schedule will be added,NA,NA,"Doha, Qatar",Farooqi,Business Administration,DNM,DNM,W
70503,Independent Study in Marketing,3-18,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Hollifield,Business Administration,DNM,DNM,A
70503,Independent Study in Marketing,3-18,Schedule will be added,NA,NA,"Doha, Qatar",Farooqi,Business Administration,DNM,DNM,W
70504,Independent Study in Organizational Behavior,3-18,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Hollifield,Business Administration,DNM,DNM,A
70504,Independent Study in Organizational Behavior,3-18,Schedule will be added,NA,NA,"Doha, Qatar",Farooqi,Business Administration,DNM,DNM,W
70505,Independent Study in Finance,3-18,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Hollifield,Business Administration,DNM,DNM,A
70505,Independent Study in Finance,3-18,Schedule will be added,NA,NA,"Doha, Qatar",Farooqi,Business Administration,DNM,DNM,W
